DAM_ID,DAM_NAME,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,INCONSISTENCIES_NOTED
41,Ross,Washington,SCL,-121.067305,48.732466,1970-10-01,2020-08-31,NA
42,Diablo,Washington,SCL,-121.13032,48.714583,1970-10-01,2020-08-31,NA
54,Wynoochee,Washington,USGS,-123.604561,47.386357,1980-01-01,2020-12-31,NA
55,Keechelus,Washington,BOR_PN,-121.340171,47.323654,1965-01-01,2020-12-31,NA
56,Howard A. Hanson Dam,Washington,ACE_SEA,-121.783969,47.277406,1980-01-01,2020-12-31,NA
57,Kachess,Washington,BOR_PN,-121.205208,47.265956,1965-01-01,2020-12-31,NA
59,Lake Tapps Dike 2-B,Washington,USGS,-122.163202,47.191381,2004-10-01,2020-12-31,NA
60,Bumping Lake,Washington,BOR_PN,-121.302083,46.86875,1965-01-01,2020-12-31,NA
63,Tieton,Washington,BOR_PN,-121.128322,46.654792,1965-01-01,2020-12-31,NA
72,Scoggins Reservoir,Oregon,BOR_PN,-123.199777,45.47449,1965-01-01,2020-12-31,NA
78,Wasco,Oregon,BOR_PN,-121.690853,45.17581,1965-01-01,2020-12-31,NA
80,Detroit,Oregon,ACE_POR,-122.247917,44.719354,1970-12-15,2020-12-31,NA
83,Green Peter,Oregon,ACE_POR,-122.547437,44.451859,1970-12-15,2020-05-26,NA
85,Foster,Oregon,ACE_POR,-122.668049,44.418013,1970-12-15,2020-12-31,NA
87,Ochoco,Oregon,BOR_PN,-120.722554,44.298084,1965-01-01,2020-12-31,NA
88,Blue River Dam,Oregon,ACE_POR,-122.328125,44.17358,1974-11-01,2020-12-31,NA
89,Cougar,Oregon,ACE_POR,-122.240036,44.126141,1971-01-01,2020-12-31,NA
90,Fern Ridge,Oregon,ACE_POR,-123.296875,44.117518,1975-01-01,2020-12-31,NA
91,Arthur R. Bowman,Oregon,BOR_PN,-120.78475,44.111562,1965-01-01,2020-12-31,NA
92,Fall Creek,Oregon,ACE_POR,-122.7552,43.944837,1980-01-01,2020-12-31,NA
93,Dexter,Oregon,ACE_POR,-122.805208,43.922071,1961-01-01,2020-12-31,NA
94,Lookout Point,Oregon,ACE_POR,-122.750316,43.913909,1971-01-01,2020-05-26,NA
97,Dorena,Oregon,ACE_POR,-122.954278,43.78714,1974-11-01,2020-12-31,NA
98,Crane Prairie,Oregon,BOR_PN,-121.793773,43.760449,1965-01-01,2020-12-31,NA
99,Cottage Grove,Oregon,ACE_POR,-123.05623,43.714163,1974-11-01,2020-12-31,NA
100,Hills Creek,Oregon,ACE_POR,-122.421703,43.708548,1963-01-01,2020-12-31,NA
101,Wickiup Reservoir,Oregon,BOR_PN,-121.690207,43.68125,1965-01-01,2020-12-31,NA
102,Crescent Lake,Oregon,BOR_PN,-121.971611,43.500474,1965-01-01,2020-12-31,NA
107,William L. Jess,Oregon,ACE_POR,-122.672183,42.672829,1977-02-28,2020-12-31,NA
