,Arkansas : all sectors,Oklahoma : all sectors,Texas : all sectors
Jan 2001,5.69,5.98,6.9
Feb 2001,5.6,5.83,6.91
Mar 2001,5.73,6.27,7.02
Apr 2001,6.04,5.97,7.04
May 2001,6.16,6.39,7.34
Jun 2001,6.53,6.99,7.9
Jul 2001,6.47,7.1,7.98
Aug 2001,6.58,7.1,8
Sep 2001,6.44,5.58,7.65
Oct 2001,5.67,5.67,7.38
Nov 2001,5.54,4.43,6.92
Dec 2001,5.67,4.93,6.93
Jan 2002,5.48,4.7,6.73
Feb 2002,5.41,4.94,7.06
Mar 2002,5.49,4.65,6.64
Apr 2002,5.43,4.99,6.53
May 2002,5.5,5.29,6.32
Jun 2002,5.86,6.21,6.91
Jul 2002,6.08,6.37,6.98
Aug 2002,6.08,6.17,6.73
Sep 2002,6.09,6.7,6.45
Oct 2002,5.14,5.64,6.29
Nov 2002,5.18,5.14,6.19
Dec 2002,5.14,5.24,6.54
Jan 2003,5.14,5.32,6.62
Feb 2003,5.24,5.82,6.94
Mar 2003,5.53,6.51,7.55
Apr 2003,5.34,5.86,7.26
May 2003,5.59,6.37,7.62
Jun 2003,6.07,7.31,8.28
Jul 2003,6.25,7.53,8.38
Aug 2003,6.18,7.31,8.13
Sep 2003,5.79,6.81,7.65
Oct 2003,5.24,6.21,7.13
Nov 2003,5.04,5.27,6.89
Dec 2003,4.98,4.94,6.87
Jan 2004,5.15,5.43,7.31
Feb 2004,5.18,5.62,7.24
Mar 2004,5.16,5.91,7.27
Apr 2004,5.44,6.5,7.52
May 2004,5.73,6.07,7.86
Jun 2004,6.17,7.45,8.55
Jul 2004,6.26,7.52,8.58
Aug 2004,6.27,7.39,8.85
Sep 2004,6,7.06,8.34
Oct 2004,5.37,6.53,7.71
Nov 2004,5.51,5.78,7.76
Dec 2004,5.38,5.97,7.66
Jan 2005,5.37,5.63,7.71
Feb 2005,5.45,5.95,7.95
Mar 2005,5.63,6,8.13
Apr 2005,5.91,6.04,8.23
May 2005,6.07,6.08,8.51
Jun 2005,6.59,7.2,9.19
Jul 2005,6.67,7.25,9.49
Aug 2005,6.85,7.58,9.82
Sep 2005,7.1,8.18,10.13
Oct 2005,6.65,7.87,10.13
Nov 2005,6.34,6.67,9.67
Dec 2005,6.37,6.7,9.78
Jan 2006,6.48,7.85,9.96
Feb 2006,6.41,7.44,10.05
Mar 2006,6.3,6.97,9.98
Apr 2006,6.44,7.19,10.06
May 2006,6.58,6.91,10.2
Jun 2006,7,7.62,10.77
Jul 2006,7.46,7.63,10.84
Aug 2006,8.08,8.09,11.04
Sep 2006,7.61,7.96,10.69
Oct 2006,7,7.21,10.22
Nov 2006,6.9,6.42,9.85
Dec 2006,6.91,5.7,9.78
Jan 2007,6.81,6.39,9.93
Feb 2007,6.83,6.66,9.99
Mar 2007,7,6.49,10.1
Apr 2007,6.32,6.86,10.05
May 2007,6.45,7,10.1
Jun 2007,6.81,7.62,10.41
Jul 2007,7.41,7.9,10.37
Aug 2007,7.5,8.04,10.28
Sep 2007,7.32,8.02,10.3
Oct 2007,6.88,7.66,10.14
Nov 2007,6.91,7.2,9.74
Dec 2007,6.79,6.94,9.73
Jan 2008,6.6,6.49,10.14
Feb 2008,6.71,6.81,9.77
Mar 2008,6.98,6.89,10.1
Apr 2008,7.31,7.05,10.52
May 2008,7.53,7.54,10.62
Jun 2008,8.36,8.72,11.92
Jul 2008,8.43,9.24,12.22
Aug 2008,8.13,9.16,11.9
Sep 2008,8.11,8.69,11.33
Oct 2008,7.66,8.18,10.98
Nov 2008,7.5,7.34,10.56
Dec 2008,7.5,6.5,10.82
Jan 2009,7.64,6.81,10.41
Feb 2009,7.74,7.43,10.41
Mar 2009,7.7,6.45,10.02
Apr 2009,7.26,6.66,9.74
May 2009,7.31,6.71,9.87
Jun 2009,7.63,7.02,10.27
Jul 2009,8.02,7.36,10.02
Aug 2009,7.87,7.39,9.85
Sep 2009,7.45,7.26,9.64
Oct 2009,7.29,7.1,9.39
Nov 2009,7.2,6.48,9.24
Dec 2009,7.41,6.33,9.36
Jan 2010,7.49,6.67,9.43
Feb 2010,7.36,6.77,9.49
Mar 2010,7.32,6.7,9.38
Apr 2010,7.13,7.29,9.34
May 2010,7.23,7.61,9.3
Jun 2010,7.82,8.1,9.57
Jul 2010,7.43,8.37,9.53
Aug 2010,7.4,8.36,9.63
Sep 2010,7.2,8.4,9.35
Oct 2010,6.99,7.74,9.15
Nov 2010,6.79,7.02,8.66
Dec 2010,6.89,7.16,9.02
Jan 2011,6.71,6.98,8.7
Feb 2011,6.77,7.17,8.94
Mar 2011,6.72,7.23,8.75
Apr 2011,7.11,7.49,8.59
May 2011,7.32,7.57,8.83
Jun 2011,7.88,8.32,9.28
Jul 2011,8.15,8.43,9.34
Aug 2011,8.17,8.52,9.62
Sep 2011,8.01,8.72,9.34
Oct 2011,7.28,7.87,8.74
Nov 2011,7.24,7.31,8.58
Dec 2011,7.18,7.06,8.61
Jan 2012,7.16,7.2,8.56
Feb 2012,7.19,7.55,8.59
Mar 2012,7.25,7.4,8.31
Apr 2012,7.11,7.33,8.26
May 2012,7.31,7.47,8.35
Jun 2012,7.95,7.75,8.71
Jul 2012,8.15,7.77,8.78
Aug 2012,8.2,8.11,8.87
Sep 2012,8.09,7.95,8.78
Oct 2012,7.48,7.41,8.43
Nov 2012,7.48,7.04,8.27
Dec 2012,7.48,7.03,8.38
Jan 2013,7.61,6.8,8.45
Feb 2013,7.65,7.27,8.39
Mar 2013,7.65,7.56,8.31
Apr 2013,7.64,7.81,8.38
May 2013,7.88,7.97,8.59
Jun 2013,8.32,8.47,8.89
Jul 2013,8.42,8.43,9.01
Aug 2013,8.39,8.4,9
Sep 2013,8.32,8.6,8.81
Oct 2013,7.7,8.04,8.63
Nov 2013,7.63,7.34,8.39
Dec 2013,7.67,7.21,8.67
Jan 2014,7.24,7.36,8.75
Feb 2014,7.4,7.95,8.85
Mar 2014,7.53,7.86,8.79
Apr 2014,7.7,8.02,8.55
May 2014,7.88,8.03,8.55
Jun 2014,8.31,8.67,9.2
Jul 2014,8.53,8.94,9.33
Aug 2014,8.41,8.67,9.28
Sep 2014,8.43,9.02,9.16
Oct 2014,7.8,8.19,8.95
Nov 2014,7.74,7.55,8.75
Dec 2014,7.64,7.49,8.81
Jan 2015,7.57,7.25,9.01
Feb 2015,7.78,7.6,8.94
Mar 2015,7.72,7.59,8.85
Apr 2015,7.87,7.69,8.46
May 2015,8.12,7.88,8.63
Jun 2015,8.52,8.36,8.84
Jul 2015,8.82,8.44,8.9
Aug 2015,8.83,8.54,8.98
Sep 2015,8.75,8.48,8.8
Oct 2015,8,8.02,8.35
Nov 2015,8,7.32,8.13
Dec 2015,7.82,7.08,8.22
Jan 2016,7.63,6.93,8.38
Feb 2016,7.7,7.36,8.36
Mar 2016,7.76,7.28,8.23
Apr 2016,7.65,7.39,8.13
May 2016,7.89,7.63,8.26
Jun 2016,8.52,8.11,8.54
Jul 2016,8.65,8.36,8.65
Aug 2016,8.69,8.58,8.65
Sep 2016,8.63,8.69,8.7
Oct 2016,8.08,8.26,8.42
Nov 2016,7.86,7.01,8.25
Dec 2016,7.94,7.54,8.23
Jan 2017,7.82,7.73,8.32
Feb 2017,7.86,8.11,8.33
Mar 2017,7.78,7.89,8.14
Apr 2017,8.02,8.3,8.25
May 2017,8.16,8.11,8.33
Jun 2017,8.65,8.41,8.55
Jul 2017,8.85,8.59,8.62
Aug 2017,8.77,8.61,8.6
Sep 2017,8.77,8.59,8.57
Oct 2017,8.05,8.35,8.35
Nov 2017,8.03,7.89,8.17
Dec 2017,7.9,7.58,8.07
Jan 2018,8.22,7.7,8.49
Feb 2018,8.28,7.88,8.46
Mar 2018,8.19,7.98,8.23
Apr 2018,7.43,7.93,8.13
May 2018,7.48,7.82,8.38
Jun 2018,7.86,8.69,8.77
Jul 2018,8,8.48,8.82
Aug 2018,7.95,8.66,8.82
Sep 2018,7.84,8.4,8.58
Oct 2018,7.18,8.21,8.36
Nov 2018,7.36,7.48,8.35
Dec 2018,7.33,7.45,8.03
Jan 2019,8.05,7.26,8.37
Feb 2019,8,7.66,8.34
Mar 2019,8.14,7.73,8.34
Apr 2019,8,7.5,8.16
May 2019,8.09,7.59,8.29
Jun 2019,8.55,8.25,8.47
Jul 2019,8.64,8.51,8.65
Aug 2019,8.59,8.53,9.45
Sep 2019,8.49,8.43,9.09
Oct 2019,8.08,7.81,8.66
Nov 2019,7.92,7.35,8.52
Dec 2019,7.78,7.09,8.28
Jan 2020,7.73,7.08,8.11
Feb 2020,8.06,7.26,8.33
Mar 2020,8.01,7.08,8.17
Apr 2020,8.2,7.39,8.23
May 2020,8.17,7.33,8.33
Jun 2020,8.77,8.07,8.58
Jul 2020,8.93,8.19,8.62
Aug 2020,8.55,8.22,8.75
Sep 2020,8.71,8.26,8.68
Oct 2020,8.29,7.62,8.17
Nov 2020,8.13,7.48,8.07
Dec 2020,8.04,7.04,8.03
Jan 2021,7.93,7.13,8.15
Feb 2021,11.27,9.23,12.58
Mar 2021,8.53,6.37,10.44
Apr 2021,8.19,7.8,9.48
May 2021,8.33,7.74,8.35
Jun 2021,9.15,8.84,8.53
Jul 2021,9.44,9.15,8.62
Aug 2021,9.54,9.28,8.99
Sep 2021,9.58,9.54,9.11
Oct 2021,9.18,9.46,8.9
Nov 2021,8.84,8.56,8.86
Dec 2021,8.74,8.25,8.51
Jan 2022,8.65,8.48,8.84
Feb 2022,8.71,8.63,9.44
Mar 2022,8.86,8.52,9.31
Apr 2022,9.1,8.72,9.42
May 2022,9.74,9.76,10.37
Jun 2022,10.43,10.87,10.62
Jul 2022,10.82,11.34,11.2
Aug 2022,10.75,11.98,11.09
Sep 2022,10.75,11.37,11.04
