Date,Last Price
5/31/2023,463.66
4/28/2023,804.67
3/31/2023,1021.9
2/28/2023,1015.47
1/31/2023,1026.38
12/30/2022,1031.6801
11/30/2022,985.96
10/31/2022,1003.22
9/30/2022,1242.79
8/31/2022,1242.74
7/29/2022,1144.14
6/30/2022,998.95
5/31/2022,935.45
4/29/2022,938.59
3/31/2022,792.99
2/28/2022,789.69
1/31/2022,685.97
12/31/2021,733.83
11/30/2021,728
10/29/2021,785.19
9/30/2021,863.04
8/31/2021,936.22
7/30/2021,847.27
6/30/2021,839
5/31/2021,867
4/30/2021,868.7
3/31/2021,772.1
2/26/2021,529.43
1/29/2021,507.78
12/31/2020,492.56
11/30/2020,481.42
10/30/2020,482.52
9/30/2020,499.61
8/31/2020,530.49
7/31/2020,555.1
6/30/2020,676.13
5/29/2020,675.36
4/30/2020,394.76
3/31/2020,299.47
2/28/2020,220.41
1/31/2020,225.28
12/31/2019,248.79
11/29/2019,254.16
10/31/2019,241.2
9/30/2019,214.64
8/30/2019,224.04
7/31/2019,238.42
6/28/2019,238.58
5/31/2019,232.06
4/30/2019,245.94
3/29/2019,262.91
2/28/2019,249.43
1/31/2019,243.98
12/31/2018,249.27
11/30/2018,318.12
10/31/2018,371.11
9/28/2018,398.62
8/31/2018,400.05
7/31/2018,330.81
6/29/2018,314.07
5/31/2018,250.78
4/30/2018,230.33
3/30/2018,234.03
2/28/2018,231.95
1/31/2018,229.14
12/29/2017,206.07
11/30/2017,208.4
10/31/2017,214.37
9/29/2017,227.05
8/31/2017,242.75
7/31/2017,242.22
6/30/2017,200.84
5/31/2017,189.58
4/28/2017,180.04
3/31/2017,308.31
2/28/2017,485.55
1/31/2017,520.62
12/30/2016,524.45
11/30/2016,488.91
10/31/2016,500.22
9/30/2016,491.03
8/31/2016,418.1
7/29/2016,381.05
6/30/2016,386.09
5/31/2016,389.83
4/29/2016,383.84
3/31/2016,353.75
2/29/2016,407.09
1/29/2016,473.67
12/31/2015,465.96
11/30/2015,451.14
10/30/2015,490.4
9/30/2015,600.89
8/31/2015,790.81
7/31/2015,723.04
6/30/2015,655.65
5/29/2015,579.93
4/30/2015,496.63
3/31/2015,491.83
2/27/2015,519.36
1/30/2015,470.39
12/31/2014,437.54
11/28/2014,393.25
10/31/2014,369.28
9/30/2014,334.31
8/29/2014,386
7/31/2014,455.06
6/30/2014,801.08
5/30/2014,833.25
4/30/2014,729.74
3/31/2014,360.23
2/28/2014,242.28
1/31/2014,261.22
12/31/2013,310.35
11/29/2013,308.47
10/31/2013,281.41
9/30/2013,285.11
8/30/2013,287.99
7/31/2013,284.34
6/28/2013,315.62
5/31/2013,291.97
4/30/2013,282.81
3/29/2013,258.8
2/28/2013,247.39
1/31/2013,109.68
